team,year,name,country,state,district,rookie_year,district_points,district_rank,epa.total_points.mean,epa.total_points.sd,epa.unitless,epa.norm,epa.conf,epa.breakdown.total_points,epa.breakdown.auto_points,epa.breakdown.teleop_points,epa.breakdown.endgame_points,epa.breakdown.energized_rp,epa.breakdown.supercharged_rp,epa.breakdown.traversal_rp,epa.breakdown.tiebreaker_points,epa.breakdown.auto_fuel,epa.breakdown.auto_tower,epa.breakdown.transition_fuel,epa.breakdown.first_shift_fuel,epa.breakdown.second_shift_fuel,epa.breakdown.teleop_fuel,epa.breakdown.endgame_fuel,epa.breakdown.endgame_tower,epa.breakdown.total_fuel,epa.breakdown.total_tower,epa.breakdown.rp_1,epa.breakdown.rp_2,epa.breakdown.rp_3,epa.stats.start,epa.stats.pre_champs,epa.stats.max,epa.ranks.total.rank,epa.ranks.total.percentile,epa.ranks.total.team_count,epa.ranks.country.rank,epa.ranks.country.percentile,epa.ranks.country.team_count,epa.ranks.state.rank,epa.ranks.state.percentile,epa.ranks.state.team_count,epa.ranks.district.rank,epa.ranks.district.percentile,epa.ranks.district.team_count,record.wins,record.losses,record.ties,record.count,record.winrate,competing.this_week,competing.next_event_key,competing.next_event_name,competing.next_event_week
188,2026,Blizzard,Canada,ON,ont,1998,201.0,20.0,107.02,30.43,1668.0,1616.0,"[-0.92, 0.83]",107.02,20.62,57.05,29.35,0.2912,0.0881,-0.34015,107.02,20.37,0.26,3.77,28.21,25.07,57.05,29.88,-0.53,107.3,-0.28,0.2912,0.0881,-0.34015,70.38,107.02,145.12,494,0.8673,3724,36,0.8054,185,32,0.7311,119,32,0.7311,119,30,20,0,50,0.6,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
238,2026,Crusaders,USA,NH,ne,1999,235.0,13.0,192.32,24.28,1895.0,1749.0,"[-0.8, 0.95]",192.32,38.53,104.23,49.56,0.5209,0.3936,-0.34013,192.32,38.74,-0.21,10.26,48.51,45.46,104.23,49.66,-0.1,192.64,-0.32,0.5209,0.3936,-0.34013,40.06,192.32,192.32,79,0.9788,3724,62,0.9789,2944,3,0.94,50,11,0.945,200,40,11,0,51,0.7843,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
401,2026,Copperhead Robotics,USA,VA,fch,2000,233.0,8.0,125.55,24.64,1717.0,1647.0,"[-0.78, 0.98]",125.55,30.88,72.38,22.29,0.301,0.06,-0.34004,125.55,30.58,0.31,10.18,33.66,28.54,72.38,21.93,0.36,124.88,0.67,0.301,0.06,-0.34004,55.79,125.55,128.26,348,0.9066,3724,289,0.9018,2944,10,0.8611,72,17,0.8547,117,33,22,0,55,0.6,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
494,2026,Martians,USA,MI,fim,2001,177.0,67.0,147.95,27.62,1777.0,1673.0,"[-0.91, 0.85]",147.95,26.03,85.68,36.23,0.5687,0.2654,-0.34041,147.95,25.51,0.52,5.76,44.27,35.65,85.68,37.81,-1.58,149.01,-1.06,0.5687,0.2654,-0.34041,70.47,147.95,157.07,211,0.9433,3724,175,0.9406,2944,30,0.9434,530,30,0.9434,530,30,18,0,48,0.625,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
503,2026,Frog Force,USA,MI,fim,2001,222.0,33.0,162.05,26.98,1815.0,1695.0,"[-0.9, 0.85]",162.05,29.06,90.63,42.36,0.692,0.2172,-0.27598,162.05,29.03,0.04,13.86,43.15,33.62,90.63,39.09,3.26,158.75,3.3,0.692,0.2172,-0.27598,61.83,162.05,175.96,162,0.9565,3724,131,0.9555,2944,23,0.9566,530,23,0.9566,530,44,22,0,66,0.6667,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
540,2026,TALON 540 Godwin Robotics,USA,VA,fch,2001,187.0,18.0,115.64,22.32,1691.0,1632.0,"[-0.83, 0.93]",115.64,19.2,64.16,32.27,0.4735,0.1262,-0.34009,115.64,19.27,-0.07,11.64,25.13,27.39,64.16,32.3,-0.02,115.73,-0.09,0.4735,0.1262,-0.34009,37.74,115.64,124.21,417,0.888,3724,350,0.8811,2944,13,0.8194,72,22,0.812,117,30,21,0,51,0.5882,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
573,2026,Mech Warriors,USA,MI,fim,2001,138.0,94.0,61.65,24.61,1547.0,1533.0,"[-1.01, 0.73]",61.65,4.95,32.11,24.58,0.1786,-0.1341,-0.27409,61.65,5.87,-0.92,3.22,15.36,13.53,32.11,23.12,1.46,61.1,0.54,0.1786,-0.1341,-0.27409,50.12,61.65,87.27,1074,0.7116,3724,893,0.6967,2944,167,0.6849,530,167,0.6849,530,20,24,0,44,0.4545,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
581,2026,Blazing Bulldogs,USA,CA,ca,2001,225.0,18.0,209.89,23.94,1942.0,1780.0,"[-0.87, 0.89]",209.89,44.1,117.87,47.92,0.6702,0.5047,-0.34004,209.89,44.02,0.08,17.41,52.59,47.88,117.87,48.1,-0.18,209.99,-0.1,0.6702,0.5047,-0.34004,94.6,209.89,212.53,49,0.9868,3724,38,0.9871,2944,8,0.9725,291,8,0.9725,291,36,14,0,50,0.72,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
761,2026,TechPUPS,USA,IN,fin,2002,224.0,7.0,125.5,17.56,1717.0,1647.0,"[-0.79, 0.96]",125.5,23.75,69.69,32.06,0.3889,-0.0606,-0.34015,125.5,23.59,0.16,7.16,36.26,26.27,69.69,32.73,-0.67,126.01,-0.51,0.3889,-0.0606,-0.34015,23.74,125.5,125.5,350,0.906,3724,291,0.9012,2944,10,0.8529,68,10,0.8529,68,32,19,0,51,0.6275,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
910,2026,The Foley Freeze,USA,MI,fim,2002,149.0,87.0,89.67,20.29,1622.0,1585.0,"[-0.87, 0.88]",89.67,14.42,47.05,28.2,0.3881,-0.0502,-0.34009,89.67,13.36,1.06,0.86,19.13,27.06,47.05,28.57,-0.38,88.99,0.68,0.3881,-0.0502,-0.34009,77.83,89.67,104.54,660,0.8228,3724,554,0.8118,2944,106,0.8,530,106,0.8,530,30,17,0,47,0.6383,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
