epa_rank,opr_rank,auto_rank,ccwm_rank,qual_rank,team,name,event_epa,opr,dpr,ccwm,auto_epa_proxy,tele_end_proxy,avg_match,avg_auto_alliance,ranking_score,wlt,matches_played,avg_margin,today_w,today_l,today_avg,today_margin,remaining,is_demo,season_epa,season_auto_epa
1,1,1,1,1,8214,Cyber Unicorn,233.42,256.17,40.4,215.77,50.99,205.18,594.8,118.4,5.0,5 - 0 - 0,5,448.4,3,0,663.3,495.0,2,False,200.99,42.03
2,2,5,3,2,9997,Off-Season Demo Team 9997,205.34,196.0,79.9,116.1,29.12,166.87,527.6,78.4,4.6,5 - 0 - 0,5,316.8,3,0,523.3,306.7,2,True,,
3,3,3,2,4,8011,Wayi Guangzhou,178.62,159.89,39.0,120.89,31.04,128.85,409.5,79.5,3.83,5 - 1 - 0,6,264.3,3,1,353.2,181.5,1,False,,
4,4,7,10,7,10479,Powerhouse,166.72,150.21,103.45,46.76,27.55,122.66,424.33,77.83,3.5,4 - 2 - 0,6,173.7,3,1,420.2,156.8,1,False,,
5,9,8,16,18,6766,AtomStorm,139.59,128.12,121.86,6.25,26.01,102.1,327.0,66.4,2.2,2 - 3 - 0,5,38.4,1,2,241.7,-54.3,2,False,,
6,8,6,4,6,11328,SIA,138.59,130.82,29.01,101.82,28.83,101.99,361.2,79.6,3.6,4 - 1 - 0,5,167.4,3,0,370.7,268.3,2,False,,
7,13,12,8,9,11256,Satellites,134.0,108.21,45.32,62.9,20.52,87.7,334.4,63.4,3.0,3 - 2 - 0,5,149.2,2,1,335.0,56.3,2,False,,
8,5,9,7,8,8810,The Alphabots,129.39,146.23,82.27,63.96,25.79,120.44,370.8,65.4,3.4,3 - 2 - 0,5,101.2,2,1,368.7,100.7,2,False,,
9,7,2,6,3,6940,Violet Z,123.62,137.4,52.0,85.4,38.2,99.2,343.5,95.5,4.5,4 - 0 - 0,4,164.6,3,0,373.3,144.0,3,False,,
10,6,4,11,5,9635,Cyber Rabbit,122.19,142.5,96.39,46.11,30.79,111.71,323.17,69.83,3.67,5 - 1 - 0,6,44.3,3,1,329.8,55.2,1,False,,
11,10,11,9,16,6494,Wings of Liberty,111.18,125.41,74.06,51.35,23.42,102.0,293.67,54.83,2.5,3 - 3 - 0,6,68.8,3,1,324.2,135.2,1,False,,
12,11,13,5,10,10541,CarbonPulse Robotics,110.54,124.43,37.44,87.0,20.32,104.12,362.6,59.2,2.8,3 - 2 - 0,5,186.0,3,0,475.7,375.3,2,False,,
13,12,15,17,11,6907,The G.O.A.T,108.36,112.84,110.82,2.02,20.1,92.74,307.6,54.8,2.8,3 - 2 - 0,5,2.6,2,1,352.0,64.7,2,False,,
14,16,14,32,19,6487,Clockwork Knights,104.95,90.82,128.06,-37.24,20.29,70.53,265.0,59.2,2.2,2 - 3 - 0,5,-20.8,0,3,238.3,-127.3,2,False,,
15,18,19,20,14,9995,Off-Season Demo Team 9995,93.53,88.74,97.25,-8.5,14.43,74.31,249.6,40.6,2.6,3 - 2 - 0,5,-3.0,1,2,274.0,-21.0,2,True,,
16,20,29,31,24,9991,Off-Season Demo Team 9991,88.88,83.64,120.6,-36.96,12.24,71.39,274.6,40.2,1.8,2 - 3 - 0,5,-60.8,1,2,330.0,-94.3,2,True,,
17,22,21,27,31,10120,Wulfa the Wolf,87.2,82.58,106.12,-23.53,14.25,68.33,241.0,41.6,1.4,1 - 4 - 0,5,-48.0,1,2,284.3,14.7,2,False,,
18,17,24,29,25,6706,Golem,87.06,90.38,123.93,-33.55,13.66,76.71,243.4,36.8,1.8,2 - 3 - 0,5,-73.2,2,1,245.0,45.0,2,False,,
19,15,17,18,28,5823,ACE,85.38,92.4,92.83,-0.43,18.1,74.3,242.0,47.4,1.6,2 - 3 - 0,5,-4.0,0,2,254.0,-87.0,2,False,,
20,14,10,14,12,11118,The Baybies,82.41,98.74,73.12,25.62,23.79,74.95,259.0,62.4,2.6,3 - 2 - 0,5,26.6,2,1,386.0,86.3,2,False,72.67,11.76
21,23,22,15,13,5849,Joker,81.39,80.08,68.94,11.14,14.01,66.07,258.4,45.2,2.6,3 - 2 - 0,5,13.8,2,1,272.0,39.0,2,False,,
22,19,30,12,20,11019,X.PLORE,78.6,84.35,41.13,43.22,11.37,72.97,235.8,31.8,2.2,3 - 2 - 0,5,59.2,1,2,264.0,35.0,2,False,,
23,21,18,21,17,6941,IronPulse Robotics,78.3,83.53,93.19,-9.65,17.06,66.48,231.0,47.17,2.33,4 - 2 - 0,6,-1.3,3,1,269.5,46.0,1,False,,
24,25,26,19,21,10711,FORMSHOP,67.52,66.36,72.26,-5.9,12.9,53.46,207.8,40.4,2.2,3 - 2 - 0,5,-46.8,1,2,223.3,-101.7,2,False,,
25,34,32,40,26,5515,Blue Power Robotics,64.5,41.44,173.94,-132.5,10.68,30.76,201.0,51.8,1.8,2 - 3 - 0,5,-220.6,1,2,100.7,-401.3,2,False,,
26,31,20,39,40,8015,The Cheetahs,60.78,52.96,147.49,-94.53,14.32,38.64,173.8,47.0,0.4,0 - 5 - 0,5,-212.6,0,3,102.3,-285.0,2,False,,
