match,time,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score,winner,played
1,Mon 7/20 - 9:06 PM,9635,7002,9995,8015,8810,5515,280,278,red,True
2,Mon 7/20 - 9:17 PM,6399,6706,5449,6766,9997,10479,165,623,blue,True
3,Mon 7/20 - 9:28 PM,10541,9994,6394,6353,6940,9992,59,212,blue,True
4,Mon 7/20 - 9:43 PM,5849,11118,5516,5823,9597,11019,66,217,blue,True
5,Mon 7/20 - 9:55 PM,9999,9996,11352,8011,11256,8214,5,659,blue,True
6,Mon 7/20 - 10:07 PM,9991,10711,6907,10016,6494,6433,218,193,red,True
7,Mon 7/20 - 10:19 PM,11328,6940,6487,10000,10120,6941,430,192,red,True
8,Mon 7/20 - 10:29 PM,5516,5823,9635,6706,10541,10479,385,342,red,True
9,Mon 7/20 - 10:42 PM,9597,7002,6399,6353,11352,11256,150,73,red,True
10,Mon 7/20 - 10:55 PM,5849,5515,8214,6766,9992,6494,435,332,red,True
11,Mon 7/20 - 11:08 PM,6941,9995,10711,9991,9999,10120,211,165,red,True
12,Mon 7/20 - 11:25 PM,10000,11118,5449,9996,10016,9994,146,121,red,True
13,Mon 7/20 - 11:38 PM,9997,8011,8810,11328,6907,8015,500,294,red,True
14,Mon 7/20 - 11:51 PM,5823,6433,6394,6487,11019,6399,150,190,blue,True
15,Tue 7/21 - 12:04 AM,6940,6941,5849,6706,9995,6353,343,250,red,True
16,Tue 7/21 - 1:09 AM,6494,10120,10541,7002,10000,11352,431,77,red,True
17,Tue 7/21 - 1:20 AM,5449,8015,5516,11328,9991,8214,35,618,blue,True
18,Tue 7/21 - 1:33 AM,10016,6394,6766,11256,9996,8810,166,305,blue,True
19,Tue 7/21 - 1:45 AM,11019,10479,8011,9994,10711,5515,511,17,red,True
20,Tue 7/21 - 1:56 AM,11118,9997,6907,6487,9999,9635,490,376,red,True
21,Tue 7/21 - 2:07 AM,6433,9992,6941,9597,5516,10000,122,87,red,True
22,Tue 7/21 - 2:19 AM,8015,10016,10120,6394,5849,6706,51,200,blue,True
23,Tue 7/21 - 2:29 AM,9995,6494,6940,10479,5823,11256,397,302,red,True
24,Tue 7/21 - 2:41 AM,6766,6353,7002,11118,8011,10711,179,447,blue,True
25,Tue 7/21 - 2:57 AM,8810,6907,9999,9994,11352,11019,430,106,red,True
26,Tue 7/21 - 3:10 AM,5515,6433,9991,8214,10541,9997,99,840,blue,True
27,Tue 7/21 - 3:22 AM,9992,9597,6487,9635,5449,11328,66,209,blue,True
28,Tue 7/21 - 3:34 AM,9996,8015,11118,6399,6941,6494,221,344,blue,True
29,Tue 7/21 - 3:47 AM,6940,10000,6766,6907,5516,7002,380,136,red,True
30,Tue 7/21 - 3:59 AM,10479,8214,6433,8810,6353,10120,532,371,red,True
31,Tue 7/21 - 4:14 AM,9999,5515,8011,6394,5449,9597,186,155,red,True
32,Tue 7/21 - 4:25 AM,9991,6487,5849,11256,9635,9994,273,398,blue,True
33,Tue 7/21 - 4:38 AM,9992,6399,9997,9995,11019,10016,240,175,red,True
34,Tue 7/21 - 4:50 AM,11352,6706,11328,10711,9996,5823,285,206,red,True
35,Tue 7/21 - 5:01 AM,10541,5516,6353,5449,6494,9999,156,125,red,True
36,Tue 7/21 - 5:13 AM,10479,9635,10000,8011,6394,6941,336,269,red,True
37,Tue 7/21 - 9:00 PM,8214,6766,9597,6487,9994,9997,,,,False
38,Tue 7/21 - 9:12 PM,5515,11352,10016,6940,8015,6433,,,,False
39,Tue 7/21 - 9:24 PM,10120,11256,9995,11019,11328,11118,,,,False
40,Tue 7/21 - 9:36 PM,5823,9992,6706,7002,8810,9991,,,,False
41,Tue 7/21 - 9:48 PM,6907,6399,9996,5849,10711,10541,,,,False
42,Tue 7/21 - 10:00 PM,6433,10000,6353,9999,6766,8015,,,,False
43,Tue 7/21 - 10:12 PM,9994,9995,8011,5516,6487,10016,,,,False
44,Tue 7/21 - 10:24 PM,11352,10479,6940,11118,9991,9992,,,,False
45,Tue 7/21 - 10:36 PM,10541,11019,11256,6941,8214,6706,,,,False
46,Tue 7/21 - 10:48 PM,5449,5515,9996,10120,6907,5823,,,,False
47,Tue 7/21 - 11:00 PM,9997,11328,6394,6494,5849,7002,,,,False
48,Tue 7/21 - 11:12 PM,9597,8810,9635,10711,6399,6940,,,,False
