rank,team,name,ranking_score,avg_match,avg_auto_fuel,avg_tower,record,wins,losses,ties,matches_played
1,8214,Cyber Unicorn,5.0,594.8,118.4,0.0,5 - 0 - 0,5,0,0,5
2,9997,Off-Season Demo Team 9997,4.6,527.6,78.4,0.0,5 - 0 - 0,5,0,0,5
3,6940,Violet Z,4.5,343.5,95.5,0.0,4 - 0 - 0,4,0,0,4
4,8011,Wayi Guangzhou,3.83,409.5,79.5,0.0,5 - 1 - 0,5,1,0,6
5,9635,Cyber Rabbit,3.67,323.17,69.83,0.0,5 - 1 - 0,5,1,0,6
6,11328,SIA,3.6,361.2,79.6,0.0,4 - 1 - 0,4,1,0,5
7,10479,Powerhouse,3.5,424.33,77.83,0.0,4 - 2 - 0,4,2,0,6
8,8810,The Alphabots,3.4,370.8,65.4,0.0,3 - 2 - 0,3,2,0,5
9,11256,Satellites,3.0,334.4,63.4,0.0,3 - 2 - 0,3,2,0,5
10,10541,CarbonPulse Robotics,2.8,362.6,59.2,0.0,3 - 2 - 0,3,2,0,5
11,6907,The G.O.A.T,2.8,307.6,54.8,0.0,3 - 2 - 0,3,2,0,5
12,11118,The Baybies,2.6,259.0,62.4,0.0,3 - 2 - 0,3,2,0,5
13,5849,Joker,2.6,258.4,45.2,0.0,3 - 2 - 0,3,2,0,5
14,9995,Off-Season Demo Team 9995,2.6,249.6,40.6,0.0,3 - 2 - 0,3,2,0,5
15,6399,Tinspiratio,2.6,214.8,40.8,0.0,4 - 1 - 0,4,1,0,5
16,6494,Wings of Liberty,2.5,293.67,54.83,0.0,3 - 3 - 0,3,3,0,6
17,6941,IronPulse Robotics,2.33,231.0,47.17,0.0,4 - 2 - 0,4,2,0,6
18,6766,AtomStorm,2.2,327.0,66.4,0.0,2 - 3 - 0,2,3,0,5
19,6487,Clockwork Knights,2.2,265.0,59.2,0.0,2 - 3 - 0,2,3,0,5
20,11019,X.PLORE,2.2,235.8,31.8,0.0,3 - 2 - 0,3,2,0,5
21,10711,FORMSHOP,2.2,207.8,40.4,0.0,3 - 2 - 0,3,2,0,5
22,10000,Neutron Star,2.0,189.67,60.33,0.0,3 - 3 - 0,3,3,0,6
23,9992,Off-Season Demo Team 9992,2.0,189.4,44.0,0.0,3 - 2 - 0,3,2,0,5
24,9991,Off-Season Demo Team 9991,1.8,274.6,40.2,0.0,2 - 3 - 0,2,3,0,5
25,6706,Golem,1.8,243.4,36.8,0.0,2 - 3 - 0,2,3,0,5
26,5515,Blue Power Robotics,1.8,201.0,51.8,0.0,2 - 3 - 0,2,3,0,5
27,9999,Off-Season Demo Team 9999,1.67,212.83,47.33,0.0,2 - 4 - 0,2,4,0,6
28,5823,ACE,1.6,242.0,47.4,0.0,2 - 3 - 0,2,3,0,5
29,6433,HZ4Z,1.6,196.2,38.2,0.0,2 - 3 - 0,2,3,0,5
30,6353,EFZ Robotics,1.5,199.33,35.0,0.0,2 - 4 - 0,2,4,0,6
31,10120,Wulfa the Wolf,1.4,241.0,41.6,0.0,1 - 4 - 0,1,4,0,5
32,7002,风云蹦豆,1.4,155.4,45.8,0.0,2 - 3 - 0,2,3,0,5
33,9597,Luban Robotics,1.2,131.0,31.6,0.0,2 - 3 - 0,2,3,0,5
34,5516,Iron Maple,1.17,130.83,34.33,0.0,2 - 4 - 0,2,4,0,6
35,9994,Off-Season Demo Team 9994,1.0,136.2,26.8,0.0,1 - 4 - 0,1,4,0,5
36,5449,Prototype,1.0,130.0,33.5,0.0,2 - 4 - 0,2,4,0,6
37,9996,Off-Season Demo Team 9996,0.8,171.6,32.6,0.0,1 - 4 - 0,1,4,0,5
38,11352,Flying Tiger,0.8,105.2,22.0,0.0,1 - 4 - 0,1,4,0,5
39,6394,MITO,0.5,160.67,33.0,0.0,1 - 5 - 0,1,5,0,6
40,8015,The Cheetahs,0.4,173.8,47.0,0.0,0 - 5 - 0,0,5,0,5
41,10016,Absolute Zero,0.0,131.2,21.0,0.0,0 - 5 - 0,0,5,0,5
