teamNumber,teamName,division
5449,,Block1
5515,,Block1
5516,,Block1
5823,,Block2
5849,,Block1
6353,,Block2
6394,,Block2
6399,,Block2
6414,,Block1
6433,,Block2
6487,,Block2
6494,,Block2
6706,,Block1
6766,,Block2
6907,,Block2
6940,,Block2
6941,,Block3
7002,,Block3
8011,,Block3
8015,,Block3
8214,,Block3
8810,,Block3
9597,,Block3
9635,,Block3
9991,,Block3
9992,,Block3
9994,,Block4
9995,,Block1
9996,,Block1
9997,,Block1
9999,,Block4
10000,,Block4
10016,,Block4
10120,,Block1
10479,,Block4
10526,,Block4
10541,,Block4
10711,,Block4
11019,,Block4
11118,,Block5
11256,,Block5
11328,,Block5
11352,,Block5
